,ARS,지하철역
952,3749,옥수
953,3750,이태원
954,3751,한강진
955,3752,한강진
956,3753,한강진
957,3754,한강진
958,3760,신용산
959,3761,신용산
960,3900,삼각지
961,3901,신용산
962,3902,이촌(국립중앙박물관)
963,3903,이태원
964,3904,충무로
965,3905,한강진
966,3906,회현(남대문시장)
967,3907,회현(남대문시장)
968,4001,답십리
969,4002,장한평
970,4003,장한평
971,4101,상왕십리
972,4102,상왕십리
973,4103,상왕십리
974,4104,신당
975,4105,상왕십리
976,4106,상왕십리
977,4107,상왕십리
978,4108,신당
979,4109,왕십리(성동구청)
980,4110,상왕십리
981,4111,왕십리(성동구청)
982,4112,왕십리(성동구청)
983,4113,상왕십리
984,4114,상왕십리
985,4116,마장
986,4117,마장
987,4118,마장
988,4119,마장
989,4120,용두(동대문구청)
990,4121,왕십리(성동구청)
991,4122,왕십리(성동구청)
992,4123,마장
993,4124,한양대
994,4125,한양대
995,4126,한양대
996,4127,한양대
997,4128,한양대
998,4129,한양대
999,4130,한양대
1000,4131,행당
1001,4132,행당
1002,4133,행당
1003,4134,왕십리(성동구청)
1004,4135,왕십리(성동구청)
1005,4136,한양대
1006,4137,한양대
1007,4138,행당
1008,4139,행당
1009,4140,행당
1010,4141,행당
1011,4142,행당
1012,4143,신금호
1013,4145,신금호
1014,4146,신금호
1015,4147,신금호
1016,4148,신금호
1017,4149,신금호
1018,4150,신금호
1019,4151,신금호
1020,4152,신금호
1021,4153,금호
1022,4154,금호
1023,4155,금호
1024,4156,금호
1025,4157,금호
1026,4158,금호
1027,4159,신금호
1028,4160,신금호
1029,4161,옥수
1030,4162,금호
1031,4163,금호
1032,4164,금호
1033,4165,금호
1034,4166,금호
1035,4167,금호
1036,4168,금호
1037,4169,옥수
1038,4170,옥수
1039,4171,성수
1040,4172,성수
1041,4173,뚝섬
1042,4174,뚝섬
1043,4175,뚝섬
1044,4176,뚝섬
1045,4177,뚝섬
1046,4178,뚝섬
1047,4179,뚝섬
1048,4180,뚝섬
1049,4181,성수
1050,4182,성수
1051,4183,뚝섬
1052,4184,뚝섬
1053,4185,뚝섬
1054,4186,뚝섬
1055,4187,뚝섬
1056,4188,뚝섬
