역명,상세주소,경도,위도,상태
장지,서울특별시 송파구 장지동 201-5 장지역,127.126591391814,37.47756966333179,정좌표
복정,서울특별시 송파구 장지동 596-21 복정역,127.12668126594299,37.4706493421071,정좌표
산성,경기도 성남시 수정구 신흥동 7-4 산성역,127.150208455486,37.4566229047499,정좌표
남한산성입구(성남법원?검찰청),경기도 성남시 수정구 단대동 96 남한산성입구역,127.158179748755,37.4492653941943,정좌표
단대오거리,경기도 성남시 수정구 신흥동 2467 단대오거리역,127.150421610539,37.443382838239,정좌표
신흥,경기도 성남시 수정구 신흥동 2467 신흥역,127.150421610539,37.443382838239,정좌표
수진,경기도 성남시 수정구 수진동 2205-1 수진역,127.14041961246402,37.437636842867704,정좌표
모란,경기도 성남시 수정구 수진동 4808 모란역,127.130114663104,37.4363265955807,정좌표
종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),126.992158,37.570662,실패
봉천,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,126.941502,37.482628,실패
서울역,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),126.969609,37.55376,실패
대림(구로구청),서울특별시 구로구 대림동 1050-17 대림역(7호선),126.896571,37.492892,실패
까치울,경기도 부천시 원미구 춘의동 3-1 까치울역,126.801107,37.506278,실패
부천종합운동장,경기도 부천시 원미구 춘의동 15-1 부천종합운동장역,126.797466,37.505639,실패
